County,NumCases,Province,Area,Pop2009
Baringo,0,Rift Valley,11075.3,555561
Bomet,0,Rift Valley,1997.9,730129
Bungoma,0,Western,2206.9,1375063
Busia,0,Western,1628.4,743946
Elgeyo-Marakwet,0,Rift Valley,3049.7,369998
Embu,0,Eastern,2555.9,516212
Garissa,0,North Eastern,45720.2,623060
Homa Bay,0,Nyanza,3154.7,963794
Isiolo,0,Eastern,25336.1,143294
Kajiado,2,Rift Valley,21292.7,687312
Kakamega,2,Western,3033.8,1660651
Kericho,0,Rift Valley,2454.5,752396
Kiambu,4,Central,2449.2,1623282
Kilifi,9,Coast,12245.9,1109735
Kirinyaga,0,Central,1205.4,528054
Kisii,0,Nyanza,1317.9,1152282
Kisumu,0,Nyanza,2009.5,968909
Kitui,1,Eastern,24385.1,1012709
Kwale,1,Coast,8270.3,649931
Laikipia,1,Rift Valley,8696.1,399227
Lamu,0,Coast,6497.7,101539
Machakos,4,Eastern,5952.9,1098584
Makueni,0,Eastern,8008.9,884527
Mandera,0,North Eastern,25797.7,1025756
Marsabit,0,Eastern,66923.1,291166
Meru,0,Eastern,6930.1,1356301
Migori,0,Nyanza,2586.4,917170
Mombasa,11,Coast,212.5,939370
Murang'a,2,Central,2325.8,942581
Nairobi,57,Nairobi,694.9,3138369
Nakuru,3,Rift Valley,7509.5,1603325
Nandi,0,Rift Valley,2884.5,752965
Narok,0,Rift Valley,17921.2,850920
Nyamira,1,Nyanza,912.5,598252
Nyandarua,1,Central,3107.7,596268
Nyeri,0,Central,2361,693558
Samburu,0,Rift Valley,20182.5,223947
Siaya,0,Nyanza,2496.1,842304
Taita-Taveta,0,Coast,17083.9,284657
Tana River,0,Coast,35375.8,240075
Tharaka-Nithi,0,Eastern,2409.5,365330
Trans Nzoia,0,Rift Valley,2469.9,818757
Turkana,0,Rift Valley,71597.8,855399
Uasin Gishu,0,Rift Valley,2955.3,894179
Vihiga,1,Western,531.3,554622
wajir,0,North Eastern,55840.6,661941
West Pokot,0,Rift Valley,8418.2,512690
